"lon","lat","codigo","tipo","area","anno"
-72.7852949161948,-3.01837647897199,"ACR_AA","acr",0.2698106379,"2016"
-72.7889803345,-3.01910724299995,"ACR_AA","acr",0.0899372084554,"2016"
-72.784393663,-3.01936906499995,"ACR_AA","acr",0.269810898672,"2016"
-72.7887091905,-3.01978471249996,"ACR_AA","acr",0.179874638653,"2016"
-72.788438595,-3.02019097299996,"ACR_AA","acr",0.0899374544915,"2016"
-72.7831774909999,-3.02045140699994,"ACR_AA","acr",0.539620283535,"2016"
-72.7866834265,-3.02100100849995,"ACR_AA","acr",0.179874447021,"2016"
-72.791265724,-3.02290885199994,"ACR_AA","acr",0.179875466547,"2016"
-72.7899444921434,-3.02258069812869,"ACR_AA","acr",0.449687803635,"2016"
-71.9135834905,-3.02089337049996,"ACR_AA","acr",0.179619901207,"2016"
-72.7921415971251,-3.02335135935403,"ACR_AA","acr",0.719502911104,"2016"
-72.7940961577496,-3.02399947808373,"ACR_AA","acr",0.0899379779665,"2016"
-72.2545192575,-3.02276245049995,"ACR_AA","acr",0.179728962529,"2014"
-72.7881600322494,-3.02452975352789,"ACR_AA","acr",0.269812810762,"2016"
-72.7901269896085,-3.02431253157942,"ACR_AA","acr",3.4176279454,"2016"
-72.7819536012496,-3.02533064508373,"ACR_AA","acr",0.0899365452541,"2016"
-72.7936016200287,-3.02599556210672,"ACR_AA","acr",0.989317820587,"2016"
-72.3614397319999,-3.02546909449995,"ACR_AA","acr",0.0898803404196,"2017"
-72.3618436082495,-3.02574120554184,"ACR_AA","acr",0.179760803531,"2017"
-72.4509774870829,-3.02649775625034,"ACR_AA","acr",0.0898933531903,"2013"
-72.2158141745,-3.02618754349994,"ACR_AA","acr",0.0898584065519,"2014"
-72.9100945576246,-3.02897676562537,"ACR_AA","acr",0.359807017134,"2011"
-72.91144224,-3.02965745549994,"ACR_AA","acr",0.0899516158167,"2011"
-72.7801879269999,-3.03129358899994,"ACR_AA","acr",0.179872133541,"2016"
-71.9862831313131,-3.02916193581155,"ACR_AA","acr",0.35928919043,"2016"
-72.7820363005521,-3.03080214608937,"ACR_AA","acr",2.06854255042,"2014"
-72.7787939122215,-3.03138111783389,"ACR_AA","acr",0.269809010004,"2016"
-72.7703409422495,-3.03140885516751,"ACR_AA","acr",0.179870123983,"2016"
-71.9176934500833,-3.02926151508329,"ACR_AA","acr",0.269431827316,"2016"
-72.7824799000829,-3.03184072625031,"ACR_AA","acr",0.0899366855891,"2016"
